"1.4","Apr 2, 2013","","24","Leica","Summilux-M 1:1.4/24 ASPH","Leica M","","7495","NYC","4188356","",""
"2.8","11/13/2015","","24","Leica","Vario-Elmarit-SL 1:2.8-4/24-90 ASPH","Leica SL","90","4500","NYC","4517865","","Willoughby's"
"2.8","6/1/2017","","24","Leica","Vario-Elmarit-SL 24-90mm","Leica SL","90","4950","Storage","4527119","","Amazon"
"2.8","","","28","Leica","Elmarit-M 1:2.8/28 ASPH","Leica M","","4000","Storage","4118329","",""
"2.8","","","28","Leica","Elmarit-R 1:2.8/28mm","Leica R","","2000","Storage","3700764","",""
"2","9/2/2013","","28","Leica","Summicron-M1:2/28 ASPH","Leica M","","4500","NYC","4193507","",""
"1.4","11/16/2015","","28","Leica","Summilux-M 1:1.4/28mm ASPH","Leica M","","5800","NYC","04168959","","Amazon"
"4","12/14/2011","","28","Leica","Tri-Elmar-M 1:4/28-35-50 ASPH","Leica M","50","4000","Storage","3896231","",""
"2.8","","","28","Leica","Vario-Elmarit-R 1:2.8-4.5/28-90 ASPH","Leica R","90","3000","Storage","3974817","",""
"3.5","Mar 29, 2013","","30","Leica","Vario-Elmar-S 1;3.5-5.6/30-90 ASPH","Leica S2","90","10995","NYC","4183219","",""
"2.5","","","35","Leica","Summarit-S 1:2.5/35 ASPH","Leica S2","","6495","NYC","4096099","","Willoughby's"
"2","","","35","Leica","Summicron-M 1:2/35 ASPH","Leica M","","3195","NYC","4067648","",""
"2","11/23/2020","","35","Leica","Summicron-M 35mm f/2 ASPH","Leica M","","3695","NYC","4784633","","B&H"
"1.4","","","35","Leica","Summilux-M 1:1.4/35 ASPH","Leica M","","5150","Storage","4099497","",""
"4","Jul 28, 2012","","35","Leica","Vario-Elmar-R 1:4/35-70","Leica R","70","900","Storage","3774393","",""
"4","","","35","Leica","Vario-Elmar-R 1:4/35-70 ROM","Leica R","70","1125","NYC","3834050","",""
"2","7/25/2014","","50","Leica","APO-Summicron-M 1:2/50 ASPH","Leica M","","8250","Paris","4290634","",""
"2","10/24/2013","","50","Leica","APO-Summicron-M 50mm f/2 ASPH","Leica M","","8000","Storage","4204595","",""
"3.5","","","50","Leica","Leitz Elmar 1:3.5","Leica Screw","","","Paris","","",""
