"Kelly, Jay","2/14/2018","","","Sculpture: Metal","","Mark","19176","NYC","Untitled 482, 467, 457","","2017","Own"
"Kelly, Jay","6/13/2017","6.5 x 2 x 1,75","","Sculpture: Metal","","Young","5800","NYC","Untitled #464","","2017","Own"
"Kenna, Michael","8/21/2015","21 x 17","","Photography","","YM","8500","Paris Saint-Guillaume","Five Poles, Tomamae, Hokkaido","","2004","Own"
"Kenna, Michael","8/21/2015","21 x 17","","Photography","","YM","4000","Paris Saint-Guillaume","Sadakichi's Docks, Otaru, Hokkaido","","2012","Own"
"Kenna, Michael","8/21/2015","21 x 17","","Photography","","YM","3000","Paris Saint-Guillaume","Snow on Pebbles, Toya Lake, Hokkaido","","2009","Own"
"Kenna, Michael","8/21/2015","21 x 17","","Photography","","YM","3500","Paris Saint-Guillaume","White Copse, Study 3, Wakkanai, Hokkaido","","2004","Own"
"Kim, Shin il","","","","Mixed Media","","YM","","Paris Saint-Guillaume","","","2014","Own"
"Kimmerly, Ian","11/10/2020","60"" x 68""","","Oil on canvas","","YM","14400","Truckee","Guided Tour","Dolby Chadwick Gallery","2019","Own"
"Kloppmann, Maren","10/10/2019","36 x 38 x 5.5","West Living Room","Glazed porcelain, 30 elements","","YM","42820","NYC","Wall Pillows Blue Square I","","2016","Own"
"Kngwarreye, Kudditji","2/2/2023","2980 x 1500 cm","Stairwell","Acrylic on Belgian Linen","","YM","17332","SF","My Country","Art Mob","2010","Own"
"Knipp, M","","","","Painting: Oil on Canvas","","YM","","Truckee","American River","","2011","Own"
"Knipp, M","","","","Painting: Oil on Canvas","","YM","","Truckee","Eagle Falls, Lake Tahoe","","2013","Own"
"Knipp, M","","","","Painting: Oil on Canvas","","YM","","Truckee","Lake Tahoe","","2013","Own"
"Knipp, M","","","","Painting: Oil on Canvas","","YM","","Truckee","Lure","","2011","Own"
"Knipp, M","","","","Painting: Oil on Canvas","","YM","","Truckee","Tackle Box and Rod","","2011","Own"
"Koons, Jeff","4/5/2022","","E Great Room","Glass","","YM","18000","NYC","Balloon Dog (Orange)","Art Auction","2022","Own"
"Kouichi Tabata","10/11/2023","30 x 40 x 3 cm","","Oil on wooden panel","","YM","5000","Carpinteria","One way or another (sky) #5","Yutaka Kiktake Gallery","2023","Own"
"Krebs, Patsy","3/9/2017","40 x 24","","Acrylic on Wood","Sold for $14,000","YM","12000","Dolby Chadwick","Untitled","Maria Di Grande","","Sold"
"Kuraoka, David","1/22/2021","9 x 18 x 18","","Stoneware, wheel thrown, burnished","","YM","18000","Carpinteria","Ocean Beach large pitfile","Dolby Chadwick Gallery","1994","Own"
"Kuraoka, David","1/22/2021","5 x 8 x 5","","Stoneware, wheel thrown, burnished","","YM","4000","Carpinteria","Pitfile Mango (3008 8-11)","Dolby Chadwick Gallery","2008","Own"
"Kuraoka, David","1/22/2021","6.5 x 6.5 x 6.5","","Stoneware, wheel thrown, burnished","","YM","4200","Carpinteria","Pitfire Ball","Dolby Chadwick Gallery","","Own"
"Kuraoka, David","9/14/2023","6.75 x 4.50 x 4.50","","Stoneware, wheel thrown black, white, orange","","YM","1800","SF","Pitfire form","Dolby Chadwick Gallery","1994","Own"
"Kuraoka, David","1/22/2021","5.5 x 6.25 x 6.25","","Stoneware, wheel thrown, burnished","","YM","3000","Carpinteria","Pitfire form","Dolby Chadwick Gallery","1994","Own"
"Kuraoka, David","1/22/2021","3.75 x 4.5 x 4.5","","","","YM","3000","Carpinteria","Pitfire Mango (5407)","Dolby Chadwick Gallery","2007","Own"
"Kushner, Greg","10/10/2019","80 x 60","","Oil, acrylic and gold leaf on linen","","YM","58063","Ghent: Glass House","Fern","","2014","Own"
"Kushner, Robert","10/10/2019","72 x 55","","Oil, acrylic, gold and silver leaf on canvas","","YM","47891","NYC","White Lotus Shaft of Light II","","2017","Own"
"Lain, Jackson","1/8/2015","24 x 36","","Painting: Oil on Canvas","","YM","1800","Truckee","Conway Ranch, Carson Valley, NV","","2013","Own"
"Lee, Hodo","","38 x 23.5","","Photography","","Mark","","Storage","","","","Own"
"Lee, Hodo","","38 x 23.5","","Photography","","Mark","","Storage","","","","Own"
"Leonard, Lou-Brice","","24 x 10 x 5","Living Room","Ceramic","","YM","","Carpinteria","Venus","Taglialatella Galleries","","Own"
"Leonard, Lou-Brice","","19 x 10 x 15","Living Room","Sculpture: Stone","","YM","","Ghent: Glass House","Venus: Lycene","Taglialatella Galleries","2016","Own"
"Lichtenstein, Roy","6/6/2017","19 x 26","","Lithograph","","YM","14250","Storage","Haystack","Christopher Clark","1969","Own"
"Lieber, Tom","2/13/2021","72 x 48","Staircase","Oil on Canvas","","YM","34200","Truckee","White Drop","Dolby Chadwick Gallery","2019","Own"
"Louise Nevelson","10/18/2023","280 × 143.8 × 81 cm","Courtyard","Direct-Welded Aluminum","","YM","850000","Ghent: Rec Center","Seventh Decade Garden II, 1971","Pace Gallery","1971","Own"
"Lu, Zheng","9/15/2017","74 x 47 x 32","Foyer","Sculpture: Stainless Steel","","YM","69407","NYC","Water in Dripping - Li","Sundaram Tagore Gallery","2017","Own"
"Lydia Musco","5/12/2023","67.5 x 20 x 10","Mountain House Yard","Integrally pigmented concrete","","YM","29430","Carpinteria","Ninth Unconformity (Spring)","Dolby Chadwick Gallery","2021","Own"
"MacIntosh, Rob","","","","Painting: Oil on Canvas","","YM","","Truckee","Bison","","2014","Own"
"MacIntosh, Rob","","","","Painting: Oil on Canvas","","YM","","Truckee","Meeks Bay","","","Own"
"Mann, Katherine Tzu-Lan","1/22/2021","45 x 40","Bunk Room","Acrylic, cyanotype and collage on paper","","YM","14000","Truckee","Anabranch","Dolby Chadwick Gallery","2020","Own"
"Martin Puryear","9/14/2023","37 x 30","","Color softground, spitbite, drypoint and aquatint etching","","YM","16000","SF","Phygian","Dolby Chadwick Gallery","2012","Own"
"Martinez, Dylan","12/14/2018","","Office","Sculpture: Glass","","YM","1800","NYC","Glass Water Bag #31","","2018","Own"
"Martinez, Dylan","12/13/2018","","Office","Sculpture: Glass","","YM","1850","NYC","Glass Water Bag #38","","2018","Own"
"Martinez, Dylan","12/14/2018","","Office","Sculpture: BronzeSculpture: Glass","","YM","1800","NYC","Glass Water Bag #40","","2018","Own"
"Mathieu, Paul","3/4/2020"," 17.8 x 7.5 x 9","Foyer","Polished bronze with Murano glass base","","YM","14300","NYC","Flow","","2014","Own"
"Matisse, Henri","","","","Lithograph","","YM","","Paris Saint-Guillaume","","","","Own"
"Matisse, Henri","","","","Lithograph","","YM","","Paris Saint-Guillaume","","","1942","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","DORS, DORMEUSE AUX LONGS CILS . . . (p. 39; variant I)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","DORS, DORMEUSE AUX LONGS CILS . . . (p. 39; variant V)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","DORS, DORMEUSE AUX LONGS CILS . . . (p. 39; variant VI)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","ELLE Y POSE SA JOUE . . . ELLE L'EMBRASSE . . . (p. 59; variant I)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF",". . . ELLE Y POSE SA JOUE . . . ELLE L'EMBRASSE . . . (p. 59; variant IV)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","ET IL FAUDRA MOURIR SANS AVOIR TUÉ LE VENT . . . (p. 23; variant VIII)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","ET IL FAUDRA MOURIR SANS AVOIR TUÉ LE VENT . . . (p. 23; variant VIII)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","ET JE ME REPOSERAI ENFIN DANS LE RIEN QUE JE CONVOITE . . . (p. 47; variant II)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","FRONTISPIECE (Variant I)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","MAIS SOUDAIN LE SOLEIL, SECOUANT SA CRINIÈRE . . . (p. 43; variant I)","Christopher Clark","1944","Own"
"Matisse, Henri","8/14/2017","","","Linocut","","YM","","SF","ORS, DORMEUSE AUX LONGS CILS . . . (p. 39; variant IV)","Christopher Clark","1944","Own"
"Matisse, Henri","1/19/2005","20.5 x 24.5","MA Toilet","Lithograph","","Mark","","Carpinteria","Reclining Nude","","1950","Own"
"Matisse, Henri","8/14/2017","21 x 18","","Linocut","","YM","","SF",". . . SEULE, AU PIED DU GRAND CAROUBIER . . . (p. 71; variant III)","Christopher Clark","1944","Own"
"Meiji","","","","Bronze","","Mark","5500","Storage","Vase","","1880","Own"
"Meyer, Joshua","9/21/2016","22 x 22","","Painting: Oil on Canvas","","YM","6800","Carpinteria","Time Was Running Wild","Dolby Chadwick Gallery","2014","Own"
"Mincham, Jeff","1/31/2023","67 x 36 x 21","","Multi Glazed Ceramic","","YM","5250","Carpinteria","#5 Chameleon","Despard Gallery","2021","Own"
"Mitchell, Craig","2/14/2015","24 x 24","","Painting: Oil on Canvas","","YM","","Truckee","Mt. Robinson","","2014","Own"
"Moon, Beth","9/14/2023","29.5 x 25.5","","Platinum/Palladium print","","YM","3780","SF","Bearded Blue Silkie (3/9)","Dolby Chadwick Gallery","2010","Own"
"Moon, Beth","8/3/2021","20 x 16","Master","Platinum/Palladium print","","YM","4200","Carpinteria","Bearded Buff Laced Polish 3/9","Dolby Chadwick Gallery","2010","Own"
"Moon, Beth","8/3/2021","20 x 16","Master","Platinum/Palladium print","","YM","4200","Carpinteria","Silver Appenzeller Spitzhauben 3/9","","2010","Own"
"Morrall","","","Guest Bed 3","Acrylic on Canvas","","YM","","Truckee","Ford","","2013","Own"
"Mosseri, Ana","4/18/2022","10 x 23 x 18 cm","Office","Bronze","","YM","7000","Carpinteria","Barnhill","Restrepo Acevedo","2011","Own"
"Motherwell, Robert","6/6/2017","13 x 10","","Lithograph","","YM","3200","Carpinteria","Skin the Goat","Christopher Clark","1988","Own"
"Motherwell, Robert","6/6/2017","13 x 10","","Lithograph","","YM","3900","Carpinteria","Star of the Sea","Christopher Clark","1988","Own"
"Motherwell, Robert","6/6/2017","13 x 10","","Lithograph","","YM","3900","Carpinteria","The Streets","Christopher Clark","1988","Own"
"Motherwell, Robert","6/6/2017","38 x 21","","Lithograph","","YM","20750","SF","Yellow Chord","Christopher Clark","1981","Own"
"Namok, Rosella","1/31/2023","46 X 39 X 10","","Bronze","","YM","8750","Carpinteria","My Place","Despard Gallery","2021","Own"
"Napaljarri Barnes, Karen","2/2/2023","1070 x 610 cm","","Acrylic on Belgian Linen","","YM","2500","Carpinteria","Ngatijirri Jukurrpa (Budgerigar Dreaming) ","Art Mob","2022","Own"
"Napangardi, Dorothy","1/27/2023","60 x 95 cm","","Acrylic on Linen","","YM","5250","Carpinteria","Salt on Mina Mina","Kate Owens Gallery","2013","Own"
"Nöger, Udo","9/25/2019","72 x 60","","Mixed media on canvas","","YM","48000","NYC","Wiegend 5","Sundaram Tagore Gallery","2019","Own"
"Nöger, Udo","9/16/2019","40 x 56","","Mixed Media on Canvas","","YM","32000","NYC","Wiegend 7","Sundaram Tagore Gallery","2019","Own"
"Nöger, Udo","9/21/2016","71 x 88","","Mixed Media on Paper","Sold for $33,600","YM","48000","Dolby Chadwick","Zertraumend 2","Dolby Chadwick Gallery","2016","Sold"
"O'Mara, Molly","2/17/2015","","","Painting: Oil on Canvas","","YM","2100","Truckee","Aspen","","2015","Own"
"O'Mara, Molly","2/14/2015","","","Painting: Oil on Canvas","","YM","","Truckee","Aspen Triptych","","2013","Own"
"O'Mara, Molly","2/14/2015","24 x 24","","Painting: Oil on Canvas","","YM","750","Truckee","Grand Canyon 1","","2014","Own"
"O'Mara, Molly","2/18/2015","","","Painting: Oil on Canvas","","YM","1800","Truckee","Horizons #1","","2015","Own"
"O'Mara, Molly","2/18/2015","","","Painting: Oil on Canvas","","YM","2100","Truckee","Winter Aspen","","2015","Own"
"John DiPaolo","1/19/2021","70 x 126","Dining Room","Oil on Canvas","Sold to Lana McIntyre $50,000","YM","68000","770 Ladera","Untitled Revolver #4","Dolby Chadwick Gallery","2020","Sold"
"Ostrau, Sandy","8/3/2021","12 x 12","","Oil on panel","","YM","3000","Truckee","Manchester Beach Walk","Dolby Chadwick Gallery","2021","Own"
"Ostrau, Sandy","8/3/2021","30 x 30","Entry Closet","Oil on panel","","YM","5600","Truckee","Street Seen","Dolby Chadwick Gallery","2021","Own"
"Oxborough, Paul G.","","7 x 9","","Oil on Linen/Panel","","Mark","","Storage","Study for Spanish Cafe","Elanor Ettinger Gallery","","Own"
"Painting: Oil on Canvas","3/7/2007","76 x 98","Foyer","Painting: Oil on Canvas","","Mark","65000","Ghent: Rec Center","""La Vida Normal""","","","Own"
"Payne, Emily","3/9/2017","32 x 41 x 7","Living Room","Sculpture, Wire","","YM","4500","Carpinteria","Heave","","2017","Own"
"Pearce, Martin","10/7/2019","","Kitchen","Ceramic","","YM","","NYC","","","","Own"
"Pearce, Martin","10/7/2019","","Kitchen","Ceramic","","YM","12000","NYC","","","2018","Own"
"Perea de la Cabada, Rafael","12/03/2021","108 x 44 x 56 in","Pool Area","Wood and Steel","","YM","37500","Carpinteria","","Sullivan Goss","2022","Own"
"Petersen, Gary","10/10/2019","44 x 60","Guest Bed","Acrylic on canvas","","YM","10110","NYC","Maybe So","","2019","Own"
"Picasso, Pablo","","","","Lithograph","","YM","","Paris Saint-Guillaume","","","","Own"
"Picasso, Pablo","","35.5 x 43","Foyer","Lithograph","","YM","89000","Carpinteria","La Dormeuse","Christopher-Clark Fine Art","1947","Own"
"Picasso, Pablo","6/6/2017","25.75 x 20","","Lithograph","","YM","69000","NYC","Woman with Floral Bodice","","1957","Own"
"Pochinski","8/3/2021","60 x 72","Hallway Nap Rm","Oil on Canvas","","YM","18000","Carpinteria","Sandbar","Dolby Chadwick Gallery","2020","Own"
"Powers, Terry","8/3/2021","36 x 30","","Oil on Canvas","Gifted to Wally","YM","5800","Gifted","Wally's Room","Dolby Chadwick Gallery","2020","Gifted"
"Puiforcat Noailles","1/6/2005","","","Silver","","Mark","14350","Carpinteria","5 Piece Sterling Setting","","","Own"
"Pwerle, Minnie","1/27/2023","98 x 124 cm","","Acrylic on Canvas","","YM","13300","Carpinteria","Awelye Atnwengerrp","Kate Owens Gallery","2004","Own"
"Radford, Matthew","1/28/2006","68 x 52","","Painting: Oil on Canvas","","Mark","18000","Carpinteria","The City Street","","","Own"
"Rasmussen, Alex","7/1/2021","12 x 80","","Annodized aluminum","","YM","25000","Carpinteria","Pacific 4","Sullivan Goss","2021","Own"
"Rettig, Hunt","9/21/2016","20.5 x 20.5","","Mixed Media  ","","YM","4500","Carpinteria","Tenfold","Dolby Chadwick Gallery","2015","Own"
"Riska, Kristina","1/17/2015","","","Ceramic","","YM","24000","Truckee","Large Floor Urn, Unique","","2014","Own"
"Ritchie, Matthew","1/26/2020","26.25 x 28.75","","Oil, ink and wax on canvas","","YM","40000","NYC","Assassin","","2019","Own"
"Ritchie, Matthew","1/26/2020","26.25 x 28.75","Foyer","Oil, ink and wax on canvas","","YM","40000","NYC","Landscape","","2019","Own"
"Ritchie, Matthew","1/26/2020","26.25 x 28.75","Foyer","Oil, ink and wax on canvas","","YM","40000","NYC","Prince","","2019","Own"
"Ritchie, Matthew","9/1/2019","26.25 x 28.75","Foyer","Oil, ink and wax on canvas","","YM","40000","NYC","Vision","","2019","Own"
"Roberge, Celeste","5/7/2015","58 x 54 x 40","Driveway","Steel Frame, River Rock","","YM","75000","Carpinteria","Rising Cairn 6","Artist","2016","Own"
"Rojas, Clare","9/21/2016","22 x 18","","Color aquatint","","YM","1600","Storage","Maddy","Dolby Chadwick Gallery","2009","Own"
"Rosenthal, Ken","9/21/2016","20 x 16","","Photography: Silver Gelatin","","YM","6500","Carpinteria","Seen and Not Seen, 237-1","Dolby Chadwick Gallery","2001","Own"
"Ruddell, Gary","","42 x 36","","Oil on panel","","YM","","Storage","Sketch book figure Indigo","Dolby Chadwick Gallery","2013","Own"
"Russell, Lisa","9/21/2016","8 x 6","","Painting: Oil on Canvas","","YM","3800","Storage","Affinity 383","Dolby Chadwick Gallery","2016","Own"
"Russell. Lisa","9/21/2016","8 x 6","","Painting: Oil on Canvas","","YM","3800","Storage","Affinity 384","","2016","Own"
"Sadler, Ada","9/21/2016","10 x 10","","Painting: Oil on panel","","YM","5500","Carpinteria","Train Chair #40","Dolby Chadwick Gallery","2014","Own"
"Sadler, Ada","9/14/2023","7 x 7","","Oil on panel","","YM","3420","SF","Train Chair #56","Dolby Chadwick Gallery","2023","Own"
"Saint Georges, Eric","10/16/2024","24 x 2 x 2","","Cast Resin","","YM","1500","Carpinteria","Georgeous for Ever 1/8","10 West Gallery","2024","Own"
"Saint Georges, Eric","10/16/2024","14 x 2 x 1","","Cast Resin","","YM","400","Carpinteria","Here for Ever 1/8","10 West Gallery","2024","Own"
"Saint Georges, Eric","10/16/2024","20 x 3 x 2","","Cast Resin","","YM","1200","Carpinteria","Hola 1/8","10 West Gallery","2024","Own"
"Samuels-Davis, Kai","8/3/2021","18 x 18","Living Room","Oil on panel","","YM","6200","Truckee","Frayed","Dolby Chadwick Gallery","2021","Own"
"Samuels-Davis, Kai","1/22/2021","6 x 5","","Oil on panel","","YM","1500","770 Ladera","Variation II","Dolby Chadwick Gallery","2019","Own"
"Saraceno, Tomas","10/10/2023","79 x 101 x 97 in","Golf Simulator Room","Stainless steel, steel thread, polyester, fishing line, metal wire, mirror panels","","YM","290000","Ghent: Rec Center/Arena","2I/BORISOV/M+M","Drake/Anderson","2020","Own"
"Schirin","","36.6 x 46","","Oil on canvas","","Mark","","Storage","Wells Fargo Stage Coach","Mom & Dad","1874","Own"
"Schmidt, Gustavo","7/24/2003","38 x 40","","Painting: Oil on Canvas","","Mark","6800","Storage","Eve","Art Student Showcase","2002","Own"
"Schmidt, Gustavo","7/24/2003","","","Painting: Oil on Canvas","","Mark","6800","Truckee","Fruit and Plastic Bag","Art Student Showcase","2002","Own"
"Schmidt, Gustavo","12/31/2016","38 x 60","","Oil on Canvas","","Mark","12000","Storage","Sybil","Artist","2016","Own"
"Schmidt, Gustavo","","38 x 56","","Oil on Canvas","","YM","","Truckee","Three Paper Bags on Blue","Dacia Gallery","2014","Own"
"Seiter, Megan J.","1/22/2021","18.75 x 17.50","Breakfast Rm","Colored pencil and pan pastel on rising museum board","","YM","3600","Truckee","Persimmons","Dolby Chadwick Gallery","2020","Own"
"Seiter, Megan J.","8/3/2021","15 x 14","","Colored pencil on rising museum board","","YM","4000","Carpinteria","Revival","Dolby Chadwick Gallery","2021","Own"
"Sheffield","3/14/2000","30 x 20","","Silver","","Mark","25000","Carpinteria","Victorian Silver Epergne/Plateau","Fortunoff NYC","","Own"
"Silverman, Burton","3/10/2006","30 x 24","Master Bath","Painting: Oil on Canvas","","Mark","28000","Carpinteria","Store Front","Frey Norris Gallery","","Own"
"Simons, WIll","10/23/2021","8 x 7","","Ceramic","","YM","2000","Carpinteria","Arcade","Sullivan Goss","2016","Own"
"Simons, WIll","10/23/2021","6 x 3","","Ceramic","","YM","1000","Carpinteria","Fir","Sullivan Goss","2016","Own"
"Sopheap Pitch","10/26/2023","171 x 133 x 11 cm","","Bamboo, rattan, stainless steel, oil ink","","YM","54887","Carpinteria","Dissolving Stars, 2023","Tomio Koyama Gallery","2023","Own"
"St. John, Terry","8/3/2021","22 x 15","Master Bedroom","Ink on Paper","","YM","12000","Carpinteria","Buppha #14","Dolby Chadwick Gallery","2012","Own"
"St. John, Terry","1/22/2021","49.5 x 43.5","","Oil on Canvas","Consigned to Lisa Chadwich est. 100K 60% commission","YM","52000","770 Ladera","Lanna Women Reflecting","Dolby Chadwick Gallery","2019","Consigned"
"St. John, Terry","8/3/2021","20 x 15","","Ink, pen, brush on paper","","YM","12000","Carpinteria","Reclining model with artist","Dolby Chadwick Gallery","2015","Own"
"St. John, Terry","1/22/2021","29.5 x 24","","Ink, pen, brush on paper","","YM","7500","Carpinteria","Thai Model #9","Dolby Chadwick Gallery","","Own"
"Stolle, Kristen","","12 x 12","","Oil on Canvas","","Young","","Storage","","","","Own"
"Stolle, Kristen","","12 x 12","","Oil on Canvas","","Young","","Storage","","","","Own"
"Stolle, Kristen","","12 x 12","","Oil on Canvas","","Young","","Storage","","","","Own"
"Stolle, Kristen","","12 x 12","","Oil on Canvas","","Young","","Storage","","","","Own"
"Syu Koku","","","","Bronze and Gilding","","Mark","","Storage","Vase","","","Own"
"Takenaga, Barbara","4/26/2018","70 x 225","Office","Acrylic on Canvas","","YM","140000","NYC","Manifold 5","","2018","Own"
"Taylor, J. Nick","1/21/2015","95 x 25 x 19","Hallway","Wood","","YM","18000","Truckee","Balloon","SFMOMA Artists Gallery","","Own"
"Temple, Brooke","3/10/2017","25 x 21.5","","Acrylic on Paper","4,500","YM","4500","Dolby Chadwick","Elanor","Dolby Chadwick Gallery","2011","Consigned"
"Tiffany, Service for  12","","","","Bone China","","Mark","30000","SF","Federal","","","Own"
"Tjungurrayl, George Hairbrush","1/27/2023","30 x 60 cm","Mom's Room Bath","Acrylic on Canvas","","YM","1000","Carpinteria","Tingari","Kate Owens Gallery","2015","Own"
"Tradowsky, Kirsten","","16 x 20","","Painting: Oil on Canvas","","YM","875","Archived","Painting Class","Hang Art","2016","Own"
"Tradowsky, Kirsten","","10 x 20","","Painting: Oil on Canvas","","YM","650","Archived","The Hunt","Hang Art","2015","Own"
"Turk, Elizabeth","11/17/2020","90 X 17.5","West Great Room","Cherry","","YM","85140","NYC","Bald Eagle","","2020","Own"
"Turk, Elizabeth","11/14/2020","50.5 x 17.5","Off Dining Room","Anodized Aluminum","","YM","197800","Carpinteria","Trio of Sculptures","Drake/Anderson","2019","Own"
"Tyalmuty, Helen McCarthy","1/27/2023","91 x 212 cm","Office","Acrylic on Linen","","YM","14000","Carpinteria","Landmarks","Kate Owens Gallery","2012","Own"
"Unknown","","21 x 17","","","","Young","","SF","","","","Own"
"Unknown","","10 x 11","","","","Mark","","Storage","","","","Own"
"Unknown","","11 x 8","","","","Young","","Storage","","","","Own"
"Unknown","","","","Mixed Media on Paper","","Young","","Paris Saint-Guillaume","","","","Own"
"Unknown","","6.5 x 12","","Oil on Canvas","","Mark","","Storage","","","","Own"
"Unknown","","28 x 39","","Oil on Canvas","","Mark","","Storage","","","","Own"
"Unknown","","6.5 x 12","","Oil on Canvas","","Mark","","Storage","","","","Own"
"Unknown","","11 x 8","","Oil on Canvas","","Mark","","Storage","","","","Own"
"Unknown","","28 x 40","","Photography","","Mark","","Storage","","","","Own"
"Unknown","","24.5 x 16.5","","Stone and Glaze","","Mark","","Carpinteria","","","","Own"
"Unknown","","","","Bronze and Marble","","Mark","","Storage","Candelabra","","","Own"
"Unknown","","","Master Den","","","Mark","","Truckee","Cow with Bell","","2003","Own"
"Unknown","","","","Painting: Oil on masonite","","Mark","","Truckee","Cows in Field","","","Own"
"Unknown","","27.5 x 26","","Oil on Canvas","","Mark","","Storage","Elkhorn ","","","Own"
"Unknown","","17 x 16","","Ink on Paper","","Mark","","Storage","Engagement Note","","1921","Own"
"Unknown","","","","Silver","","Mark","","Carpinteria","Fighting Chickens (2)","","","Own"
"Unknown","11/11/2004","66.5 x 142","","Brocade Screen","","Mark","35200","Storage","Japanese Six Panel Screen","Foster Gwin","1840","Own"
"Unknown","","","","Ceramic","","Mark","","Ghent: Glass House","Japanese Vase","","","Own"
"Unknown","","","","Painting: Oil on Canvas","","YM","","Truckee","Lake Tahoe","","","Own"
"Unknown","12/23/2003","17.5 x 23","","Map","","Mark","4500","Storage","Map, Paris 1567","W. Graham Arader III Gallery","1567","Own"
"Unknown","","","","Silver","","Mark","","Carpinteria","Silver Pigeon (2)","","","Own"
"Unknown","","52 x 52.5","","Oil on Canvas","","Mark","","Carpinteria","Soho","","","Own"
"Unknown","","","","Steel ","","Mark","","Carpinteria","Stacked Steel Cubes","","","Own"
"Unknown","","","","Steel ","","Mark","","Carpinteria","Steel Sculpture","","","Own"
"Unknown","","24.5 x 16.5","","Stone and Glaze","","Mark","","Carpinteria","Stone Carving, India","","1200","Own"
"Unknown","","","","Bronze","","Mark","","Storage","Vase","","","Own"
"Unknown Japanese","","13 x 10.5","","Ink on Paper","","Mark","","Carpinteria","Bird","","1880","Own"
"Unknown Japanese","","13 x 10.5","","Ink on Paper","","Mark","","Carpinteria","Bird","","1880","Own"
"Vanoye, Fanny","","","","Painting: Oil on Canvas","","YM","","Paris Saint-Guillaume","","","2017","Own"
"Vanoye, Fanny","","","","Painting: Oil on Canvas","","YM","","Paris Saint-Guillaume","","","2016","Own"
"Vanoye, Fanny","","","","Painting: Oil on Canvas","","YM","","Paris Saint-Guillaume","6 Small Pieces","","2016","Own"
"Von Wicht, John","7/28/2019","12 x 17","","Mixed Media on Paper","","YM","2360","Ghent: Glass House","South Wind","","","Own"
"Wang, Jove","","10"" x 12""","","Oil on canvas","","Mark","2500","SF","Waiting for an Early Train","","","Own"
"Warhol, Andy","","41.5 x 41.5","","Lithograph","","YM","80000","Carpinteria","Martha Graham","Taglialatella Galleries","","Own"
"Watson, Tommy","1/27/2023","91 x 90 cm","","Acrylic on Linen","","YM","19950","Carpinteria","My Country","Kate Owens Gallery","2014","Own"
"Zahourek, John","9/14/2016","17 x 8 x 6","","Bronze","","YM","13000","Storage","Lovers 1","Stremmel Gallery","2015","Own"
"Zahourek, John","9/14/2016","17 x 8 x 6","","Bronze","","YM","13000","Storage","Lovers 2","Stremmel Gallery","2015","Own"
"Zapata, Hugo","4/18/2022","200 x 19 X 19 cm","Sitting Area","Ensamble en roca lutita tallada y pigmentos","","YM","10000","Carpinteria","Flor (Amarilla)","Restrepo Acevedo","2022","Own"
"Zapata, Hugo","4/18/2022","176 x 26 x 10 cm","","Ensamble en roca lutita tallada y pigmentos","Destroyed in shipment","YM","10000","Archived","Flor (Naranja)","Restrepo Acevedo","2020","Lost"
"Zapata, Hugo","4/18/2022","193 x 23 x 11 cm","Outside Sitting Area","Ensamble en roca lutita tallada y pigmentos","","YM","10000","Carpinteria","Flor (Roja)","Restrepo Acevedo","2020","Own"
"Zheng Liu","9/18/2024","65 x 53 x 94","Foyer","Stainless Steel","","YM","194487","Carpinteria","Water in Dripping - Clear Sound","Sundaram Tagore Gallery","2024","Own"
"Zizipho Poswa","5/17/2023","52.36 x 24.41 x 21.65","Roof Deck","Bronze","","YM","110000","SF","Mam'uNoSekshin","Southern Guild","2023","Own"
"Roumégoux, Jacques","8/13/2025","27 x 46 cm","Kitchen","Huile sur toile","Gift from Alice Crumyolle","YM","0","Carpinteria","Composition","Gift","1955","Own"
"Raana Farnoud","11/17/2025","24 x 18 cm","Entry Hallway","Acrylic on Canvas","Raana","YM","2090","Truckee","Untitled","Gallery Isabelle van den Eynde","2025","Own"
"Raana Farnoud","11/17/2025","24 x 18 cm","Entry Hallway","Acrylic on Canvas","Raana","YM","2090","Truckee","Untitled","Gallery Isabelle van den Eynde","2025","Own"
"Raana Farnoud","11/17/2025","24 x 18 cm","Entry Hallway","Acrylic on Canvas","Raana","YM","2090","Truckee","Untitled","Gallery Isabelle van den Eynde","2025","Own"
"Raana Farnoud","11/17/2025","24 x 18 cm","Entry Hallway","Acrylic on Canvas","Raana","YM","2090","Truckee","Untitled","Gallery Isabelle van den Eynde","2025","Own"
"Raana Farnoud","11/17/2025","24 x 18 cm","Entry Hallway","Acrylic on Canvas","Raana","YM","2090","Truckee","Untitled","Gallery Isabelle van den Eynde","2025","Own"
