"Arranz-Bravo, Eduardo","11/30/2006","12 x 8","","Mixed Media on Paper","","Mark","3200","Ghent: Pond House","""Tres XI""","","","Own"
"Arranz-Bravo, Eduardo","3/16/2013","16 x 10 x 10","","Sculpture: Bronze","","Mark","25000","Ghent: Glass House","""Tura de Bronze""  #2/7","","","Own"
"Arthur & Bond","","1890","","Sterling Silver","","Mark","","Carpinteria","Tea Set ""Yokohama""","","1890","Own"
"Auster, Ken","","9.5"" x 16""","","Oil on canvas","Gifted","Mark","1300","Storage","Chirp","Hang Art","2004","Gifted"
"Auster, Ken","","10 x 22","","","","Mark","1650","Storage","Do You Have Another Credit Card","","2003","Own"
"Barry, Colleen","","10 x 22","","Oil on Canvas","","Mark","","Carpinteria","","Hang Art","2006","Own"
"Bernardi, Manuèle","","80 x 35 x 35","","Acrylic on Paper","","YM","6300","NYC","Cherry Blossom","","2018","Own"
"Bernardi, Manuèle","5/28/2018","75 x 75 x 17","","Acrylic on Canvas","","YM","11300","NYC","Nuée","","2018","Own"
"Berry, Roger","1/29/2015","40 x 35 x 42","","Sculpture: Metal","","YM","30000","Truckee","Mahagony","Stremmel Gallery","","Own"
"Bierstadt, Alfred","11/20/2020","16"" X 22""","","Oil on Paper on Canvas","","YM","272528","NYC","Entrance to the Golden Gate","","1872","Own"
"Bitters, Stan","9/5/2014","84 x 20","","Cement","","YM","10500","Carpinteria","","Boiler Room","2012","Own"
"Blåder, Jesper","1/29/2021","12.5 x 15.75","","Oil on panel","","YM","2500","Carpinteria","Listen","Dolby Chadwick Gallery","","Own"
"Blåder, Jesper","1/22/2021","16.5 x 24","Guest Bathroom","Oil on panel","","YM","2800","Truckee","Me","Dolby Chadwick Gallery","","Own"
"Bolam, Andrew","2/14/2015","","","Painting: Oil on Canvas","","YM","8500","Truckee","Chief of the Prairie","","2014","Own"
"Bolam, Andrew","2/14/2015","","","Painting: Oil on Canvas","","YM","9500","Truckee","Equinox","","2014","Own"
"Bolam, Andrew","2/14/2015","","","Painting: Oil on Canvas","","YM","1800","Truckee","Horse Study","Bolam Gallery","2014","Own"
"Bolam, Andrew","2/14/2015","","","Painting: Oil on Canvas","","YM","1800","Truckee","Horse Study (Grazing)","","2014","Own"
"Bolam, Andrew","2/17/2015","","","Painting: Oil on Canvas","","YM","1100","Truckee","Idaho","Bolam Gallery","2010","Own"
"Bolam, Andrew","2/17/2015","","","Painting: Oil on Canvas","","YM","1100","Truckee","Northern Farm","Bolam Gallery","2010","Own"
"Bolam, Andrew","2/14/2015","8 x 8","","Painting: Oil on Canvas","","YM","1800","Truckee","Sunset","Bolam Gallery","2014","Own"
