".308","4","Admin","3/23/2025 9:27:21 PM","11/20/2024","Sig Sauer","Cross 308","1/14/2026 9:02:47 PM","Admin","","","1600","FAED04C4-39AA-4269-BEA8-0B96BCFA684E","Ghent: Rec Center","70G32040","Own","Zero Tolerance"
".223","4","Admin","3/27/2025 1:05:19 PM","11/20/24","Mossbert","27716 Patrol 5.6","1/14/2026 9:03:14 PM","Admin","","","699","06FA27D2-D790-40B3-8286-4C285A0899C1","Ghent: Rec Center","MVP0038466","Own","Zero Tolerance"
".22","4","Admin","3/27/2025 1:07:10 PM","","Henry","Classic Lever Action","1/14/2026 9:03:41 PM","Admin","","","457","7E093625-B411-4C57-AA5B-F937DCC20023","Ghent: Rec Center","","Own","Zero Tolerance"
".22","4","Admin","3/27/2025 1:08:48 PM","","CZ","457 Varmint","1/14/2026 9:04:05 PM","Admin","","","549","08C77AC2-EDA7-4BF0-84F1-A50FD1CFCA54","Ghent: Rec Center","","Own","Zero Tolerance"
