"Aegina civic","C 1","Single","2506","Toned Very Fine, full turtle, nicely centered.   ","647","22","647","Admin","2/22/2026 3:57:54 PM","-480","480 BC - 440 BC","-440","440 BC","Stater","Sea turtle, head in profile","0","5","VF","82","AR Silver","Aegina","4/8/2026 15:39:05","Admin","Islands off Attica, Aigina. AR Stater (12.26g), c. 480-440 BC.  Turtle as seen from above, head in profile, row of dots on shell /Incuse square of skew pattern. ","","","Mark","4800","1DCBA0A5-BF04-402C-A21A-98F2CB200C67","","Carpinteria","2/22/2026","","Milbank IIIa; HGC 435.   Meadows Group IIIa","Aegina","0","","19","Own","","","","Kirk Davis","12.24"
"Aegina civic","C 2","Single","2496","Grade: Lovely fully visual sea turtle. Getting a full turtle with all four limbs visible. Also the eye of the turtle is often worn or not visible. One edge split at 10h on obverse. A few splotches of old encrustation. Pretty cabinet toning. almost Mint State","647","22","647","Admin","2/8/2026 6:59:44 PM","-470","470 BC - 445 BC","-445","445 BC","Stater","Sea turtle, head in profile","0","11","MS","75","AR Silver","Aegina","4/6/2026 19:23:33","Admin","Sea turtle, head in profile, with 'T-back' design on shell / Large square incuse with skew pattern. The staters of Aegina occupy a foundational place in Greek numismatics, being among the earliest silver coinages struck in the ancient world, beginning around just after the dawn of coinage in 650 BC. In contrast to the electrum issues of Lydia and Ionia, Aegina’s choice of silver made its coins more practical for widespread commerceThe sea turtle, sacred to Aphrodite and emblematic of Aegina’s maritime identity, quickly became one of the most recognizable coin types in the Mediterranean. Its enduring design reflects the island’s dominance as a seafaring and trading power during the Archaic and early Classical periods. Archaeological evidence shows that Aeginetan staters circulated as far afield as Egypt, Italy, and the Levant, making them arguably the first “international currency” of the Greek world.By the mid-5th century BC, following Aegina’s defeat by Athens, the turtle design gave way to the land tortoise-a change often seen as symbolic of the island’s loss of naval supremacy. Yet for nearly two centuries, the turtle stater was the coin of choice for merchants across the Aegean.The present example, from Meadows’ Group IIIa (Milbank Period III), captures the type at its artistic peak. Its rarity lies not in survival-Aegina staters are plentiful-but in condition: complete flan, limbs, and eye intact, with pleasing toning and excellent detail. It is precisely these qualities that make such pieces highly desirable to both advanced collectors and students of monetary history.","","","Mark","11700","CA95D1DB-A869-421E-9191-DBCB581835E2","","Carpinteria","2/8/2026","","Pedigree: Purchased privately and from a UK collectionReferences: Meadows, Aegina, Group IIIa. Milbank Period III. HGC 6, 435.","Aegina","0","","20","Own","","","","Shanna Schmidt Numismatics","17.14"
"Aegina civic","C 3","Single","2496","Complete tortoise on flan. The countermark of the Boeotian shield is very rare and special. Some minor marks and slightly rough surfaces with toning overlay. A delightful example. aEF","647","22","647","Admin","2/16/2026 11:03:56 AM","-470","470 BC - 430 BC","-430","430 BC","Stater","Land tortoise segmented shell","0","0","aEF","81","AR Silver","Aegina","4/6/2026 19:23:33","Admin","Land tortoise with segmented shell; Boeotian shield counterstamp on shell / Large square incuse with heavy skew pattern, divided into five fields by thick bars.On this host coin you can see a scarce countermark: a boeotian shield! As this coin was struck between c. 445-430 BC, this date acts as a “terminus post quem” for when the countermark was applied to the host coin. As a result, the countermark was probably stamped either before, or during, the Peloponnesian War. This was due to the fact that the people of Boeotia revolted against Athens, and won their independence with a victory in 447 BC at the battle of Coronea. Athens had taken over the Boeotian region a decade prior after the Battle of Oenophyta when they defeated the Boeotians and forced the surrender of Aegina. This countermark was therefore almost certainly more than just a guarantee of the coin's silver purity, and instead was probably an anti-Athens political statement.","","","Mark","6750","5A2ABE81-AB2E-47CA-B72C-C181418538D2","","Carpinteria","2/16/2026","","Pedigree: Ex Solidus 97, 19 April 2022, Lot 37. Ex Sheppard's Irish Auction House, 17, Aug. 2021, lot 64.References: Group IIIb; Milbank Period IV, pl. II, 12; HGC 6, 437.","Aegina","0","","20","Own","","","","Shanna Schmidt Numismatics","12.44"
"Ancient counterfeit","N 1","Single","2482","","647","22","647","Admin","11/3/2025 2:09:30 PM","-456","456 BC - 431 BC","-431","431 BC","Stater","Sea turtle, fourrée","0","","VF","61","BL Billon","Aegina","4/6/2026 19:23:35","Admin","This coin is a fourrée—a base‑metal core covered with a thin silver plating—so it’s an ancient counterfeit rather than a full‑silver stater. It comes from Aegina, an island that issued some of the earliest Greek coinage. By the mid‑5th century BC, Aegina’s mint had switched from its traditional sea‑turtle motif to a land‑turtle design, which is what appears on the obverse of this piece. A fourrée might have been produced in an official mint during a silver shortage or by a forger imitating official dies; in either case, it illustrates how people tried to stretch precious‑metal supplies.Size and weight: about 19 mm in diameter and 8.30 g, noticeably lighter than a genuine full‑silver stater (which should weigh around 12 g).","","","Mark","285","5C8A7DFB-15BB-4BD8-9CFF-550A165CDB4F","","NYC","10/29/2025","","","Aegina","0","","19","Own","","","","Senatus Consulto","8.3"
"Islands off Attica, Aegina","C 4","Single","2576","Toned, traces of find patina, granular surfaces, double struck and minor die wear on obverse. Good VF. Very rare issue from the beginning of coinage at Aegina. An attractive coin in hand.","647","22","647","Admin","3/20/2026 7:18:14 PM","-550","550 BC - 530 BC","-530","","Stater","Sea turtle, head in profile","0","","gVF","107","AR Silver","Aegina","4/6/2026 19:23:33","Admin","ISLANDS off ATTICA, Aegina. Circa 550-530/25 BC. AR Stater (20mm, 11.58 g). Sea turtle, head in profile, with heavy collar and row of dots down its back / Rough incuse square with irregular lines. ","","","Mark","4475","4ACEAD88-972E-4C94-96CF-DE3684D248E3","","Carpinteria","3/20/2026","","Holloway, Archaic, Group A, unlisted dies; Meadows, Aegina, Group Ia; cf. Milbank Period I, pl. I, 1; HGC 6, 423; Selinus Hoard Group I, 48–9 (same rev. punch). ","Aegina","0","","20","Ordered","","","","CNG Coins","11.8"
"Aigai","C 5","Single","2181","","647","22","647","Admin","3/26/2025 5:54:52 PM","-155","155 BC - 145 BC","-145","143 BC","Tetradrachm","Laureate head of Apollo","0","6","VF","","AR Silver","Aigai","4/6/2026 19:23:33","Admin","A superb silver tetradrachm of King Eukratides I the Great of Bactria, of the ""spearthruster"", or ""heroic"", type, circa 155 – 145 BC.The design of the obverse is highly innovative, with an exceptional portrait bust of Eukratides hurling a spear. Shown in profile from the back, the king is depicted with striking realism, his musculature is finely modelled. His headgear resembles a Boeotian helmet, a favourite of ancient cavalrymen, decorated with a bull's horn, ear and crest. The reverse with the Dioscuri - Zeus's sons Castor and Pollux - on horseback, holding palm fronds and spears. Associated with horsemanship and prowess in battle, they likely evoke Eukratides's talent as a military leader, and particularly as a cavalryman.The inscription reads:""BASIΛEΩΣ MEΓAΛOY EYKPATIΔOY"" (""Great King Eukratides"").Eukratides I was the last important king of Bactria, a Greek state in the eastern confines of the Hellenistic world, occupying parts of modern-day Afghanistan, Uzbekistan, and Tajikistan. The ""land of a thousand gold cities"", it was one of the richest states of its time. Seizing the Bactrian throne around 171 B.C., Eukratides extended the kingdom's territory through a series of successful military campaigns, once advancing as far as the Indus River. His impressive coinage illustrates the continuing prosperity of the kingdom during his reign, which was cut short by his assassination in 145 B.C. by one of his own sons.“The coinage of Eucratides bears ample witness to the prosperity that attended him during his life. His money is even more abundant than that of Euthydemus ... No other king or city of ancient times was ever responsible for so ostentatious a display of opulence.”The Cambridge History of India, Volume 4, p. 455 (1968)","","","Mark","5500","C5A60824-4B6D-45F0-AE2E-B1812EA92F61","","Carpinteria","3/10/2023","","","Aeolis","0","52","31","Owned","","4","4","Leu Numismatik","17.54"
"Kyme","C 6","Single","2191","Condition: Nearly extremely fineWell Centered,and Beautiful Patina,Old Cabinet Tone.","647","22","647","Admin","3/26/2025 5:54:52 PM","-165","165 BC - 145 BC","-145","145 BC","Tetradrachm","Kyme right wearing taenia","0","7","aEF","","AR Silver","Kyme","4/6/2026 19:23:33","Admin","KYMAIΩN - ΣEYΘΗΣ Horse prancing right; below, one-handled cup; allwithin laurel wreath.","","","Mark","2890","500D18AB-DBC4-4E2C-BBF0-1B32866EC9EB","","Carpinteria","2/10/2025","","Ref: SNG von Aulock 1640Ex. Insta s.p.a. DoganaProof of Provenance 2011 included.","Aeolis","0","","34.4","Own","","","","Marcantica","16.82"
"Kyme","C 7","Single","2191","","647","22","647","Admin","4/17/2025 3:37:37 PM","-165","165 BC - 145 BC","-145","145 BC","Tetradrachm","Kyme wearing taenia","0","5","VF","35","AV Gold","Kyme","4/6/2026 19:23:33","Admin","Rev:KYMAIΩN - ΣEYΘΗΣ Horse prancing right; below, one-handled cup; allwithin laurel wreath.Stephanophoric tetradrachm, Attic standard. Obverse and reverse within a laurel wreath (stephanos). Obverse: Diademed or taenia‑bound head of the Amazon Kyme right (mythical foundress of the city). Reverse: Legend ΚΥΜΑΙΩΝ with magistrate’s name (e.g., ΣΕΥΘΗΣ) in exergue; horse prancing right, one‑handled cup (skyphos/kantharos) below foreleg, all within a laurel wreath","","","Mark","","0998FBB2-C7DE-4902-B507-D85856F21A6A","","Carpinteria","","","","Aeolis","0","","34.4","Own","","","","Asta","16.83"
"Kyme","N 2","Single","2177","","647","22","647","Admin","3/26/2025 5:54:52 PM","-151","151 BC - 143 BC","-143","143 BC","Tetradrachm","Kyme wearing tainia","0","","EF","","AR Silver","Kyme","4/6/2026 19:23:35","Admin","AEOLIS, Kyme. Circa 151/0-143/2 BC. AR Tetradrachm (29.5mm, 16.86 g, 12h). Stephanophoric type. Metrophanes, magistrate. Struck circa 143/2 BC. Head of the Amazon Kyme right, wearing tainia / Horse prancing right; one-handled cup below raised foreleg, MHTPOΦANHΣ below; all within wreath. E-E&E-Ö, Phase 3; Oakley obv. die unlisted; SNG Copenhagen 104. A little die wear on obverse. Near EF...","","","Mark","1800","AA17AC79-52F7-4843-B646-72B952B966AF","","NYC","10/26/2022","","","Aeolis","0","","29.5","Own","","","","CNG Auction","16.86"
"Kyme","N 3","Single","2177","","647","22","647","Admin","3/26/2025 5:54:52 PM","-151","151 BC - 143 BC","-143","143 BC","Tetradrachm","Kyme wearing tainia","0","","VF","","AR Silver","Kyme","4/6/2026 19:23:35","Admin","AEOLIS, Kyme. Circa 151/0-143/2 BC. AR Tetradrachm (30.5mm, 15.80 g, 12h). Stephanophoric type. Straton, magistrate. Head of the Amazon Kyme right, wearing tainia / Horse prancing right; KYMAIΩN to right, one-handled cup below raised foreleg, ΣTPATΩN below; all within wreath. E-E&E-Ö, Phase II, 8; Oakley obv. die unlisted; SNG von Aulock 1638-9. Toned, rough surfaces. VF...","","","Mark","1100","C42A1EDD-E5A9-45FC-B15D-311361EF994B","","NYC","11/23/2022","","","Aeolis","0","","30.5","Own","","","","CNG Auction","15.8"
